,cue_type,condition_type,target_location,cue_direction,cond_type,random_order
0,arrow,congruent,left,left,1,0
1,arrow,congruent,right,right,1,1
2,arrow,congruent,left,left,1,2
3,arrow,congruent,right,right,1,3
4,arrow,congruent,left,left,1,4
5,arrow,congruent,right,right,1,5
6,arrow,congruent,left,left,1,6
7,arrow,congruent,right,right,1,7
8,arrow,congruent,left,left,1,8
9,arrow,congruent,right,right,1,9
10,arrow,congruent,left,left,1,10
11,arrow,congruent,right,right,1,11
12,arrow,congruent,left,left,1,12
13,arrow,congruent,right,right,1,13
14,arrow,congruent,left,left,1,14
15,arrow,congruent,right,right,1,15
16,arrow,congruent,left,left,1,16
17,arrow,congruent,right,right,1,17
18,arrow,congruent,left,left,1,18
19,arrow,congruent,right,right,1,19
20,arrow,congruent,left,left,1,20
21,arrow,congruent,right,right,1,21
22,arrow,congruent,left,left,1,22
23,arrow,congruent,right,right,1,23
24,arrow,incongruent,left,right,2,24
25,arrow,incongruent,right,left,2,25
26,arrow,incongruent,left,right,2,26
27,arrow,incongruent,right,left,2,27
28,arrow,incongruent,left,right,2,28
29,arrow,incongruent,right,left,2,29
30,arrow,neutral,left,neutral,3,30
31,arrow,neutral,right,neutral,3,31
32,arrow,neutral,left,neutral,3,32
33,arrow,neutral,right,neutral,3,33
34,arrow,neutral,left,neutral,3,34
35,arrow,neutral,right,neutral,3,35
36,arrow,neutral,left,neutral,3,36
37,arrow,neutral,right,neutral,3,37
38,arrow,neutral,left,neutral,3,38
39,arrow,neutral,right,neutral,3,39
