,cue_type,condition_type,target_location,cue_direction,cond_type,random_order,fixation_dur,cB_version
0,interest_CJ,congruent,right,right,1,13,4.59051973796,1
1,interest_CJ,congruent,right,right,1,19,0.820748895702,1
2,interest_CJ,incongruent,right,left,2,27,2.19172287564,1
3,interest_CJ,congruent,left,left,1,4,0.653913830655,1
4,interest_CJ,neutral,left,neutral,3,32,1.25546961273,1
5,interest_CJ,neutral,right,neutral,3,39,2.12681142986,1
6,interest_CJ,congruent,right,right,1,23,4.52823056864,1
7,interest_CJ,congruent,right,right,1,1,1.88679353221,1
8,interest_CJ,congruent,left,left,1,6,4.03649638943,1
9,interest_CJ,incongruent,left,right,2,28,1.43637678392,1
10,interest_CJ,congruent,left,left,1,20,2.26224810162,1
11,interest_CJ,neutral,right,neutral,3,37,0.603579561293,1
12,interest_CJ,congruent,right,right,1,7,0.83984460283,1
13,interest_CJ,neutral,left,neutral,3,36,0.626270058392,1
14,interest_CJ,congruent,left,left,1,18,1.67653710546,1
15,interest_CJ,congruent,right,right,1,11,2.660462429,1
16,interest_CJ,congruent,left,left,1,10,1.59288097102,1
17,interest_CJ,neutral,right,neutral,3,31,2.27287495189,1
18,interest_CJ,congruent,right,right,1,9,2.82282519927,1
19,interest_CJ,congruent,left,left,1,12,0.359408042904,1
20,interest_CJ,congruent,left,left,1,2,2.97448368786,1
21,interest_CJ,neutral,left,neutral,3,30,1.6116898,1
22,interest_CJ,congruent,left,left,1,22,0.365610922934,1
23,interest_CJ,congruent,right,right,1,21,3.33722120395,1
24,interest_CJ,incongruent,right,left,2,29,1.24283640037,1
25,interest_CJ,congruent,right,right,1,17,1.61733317551,1
26,interest_CJ,neutral,right,neutral,3,33,1.43172393576,1
27,interest_CJ,congruent,left,left,1,16,3.24255563218,1
28,interest_CJ,neutral,left,neutral,3,34,1.79233180708,1
29,interest_CJ,congruent,right,right,1,15,1.0751883384,1
30,interest_CJ,neutral,left,neutral,3,38,2.75770224865,1
31,interest_CJ,congruent,right,right,1,3,2.84112436151,1
32,interest_CJ,congruent,right,right,1,5,31.04957622,1
33,interest_CJ,incongruent,left,right,2,26,0.663827363865,1
34,interest_CJ,congruent,left,left,1,8,0.566823795148,1
35,interest_CJ,congruent,left,left,1,0,2.38843503036,1
36,interest_CJ,incongruent,right,left,2,25,2.38838577578,1
37,interest_CJ,neutral,right,neutral,3,35,3.2395124662,1
38,interest_CJ,congruent,left,left,1,14,2.9486599696,1
39,interest_CJ,incongruent,left,right,2,24,3.22096318441,1
