,cue_type,condition_type,target_location,cue_direction,cond_type,random_order
0,interest_CJ,congruent,left,left,1,0
1,interest_CJ,congruent,right,right,1,1
2,interest_CJ,congruent,left,left,1,2
3,interest_CJ,congruent,right,right,1,3
4,interest_CJ,congruent,left,left,1,4
5,interest_CJ,congruent,right,right,1,5
6,interest_CJ,congruent,left,left,1,6
7,interest_CJ,congruent,right,right,1,7
8,interest_CJ,congruent,left,left,1,8
9,interest_CJ,congruent,right,right,1,9
10,interest_CJ,congruent,left,left,1,10
11,interest_CJ,congruent,right,right,1,11
12,interest_CJ,congruent,left,left,1,12
13,interest_CJ,congruent,right,right,1,13
14,interest_CJ,congruent,left,left,1,14
15,interest_CJ,congruent,right,right,1,15
16,interest_CJ,congruent,left,left,1,16
17,interest_CJ,congruent,right,right,1,17
18,interest_CJ,congruent,left,left,1,18
19,interest_CJ,congruent,right,right,1,19
20,interest_CJ,congruent,left,left,1,20
21,interest_CJ,congruent,right,right,1,21
22,interest_CJ,congruent,left,left,1,22
23,interest_CJ,congruent,right,right,1,23
24,interest_CJ,incongruent,left,right,2,24
25,interest_CJ,incongruent,right,left,2,25
26,interest_CJ,incongruent,left,right,2,26
27,interest_CJ,incongruent,right,left,2,27
28,interest_CJ,incongruent,left,right,2,28
29,interest_CJ,incongruent,right,left,2,29
30,interest_CJ,neutral,left,neutral,3,30
31,interest_CJ,neutral,right,neutral,3,31
32,interest_CJ,neutral,left,neutral,3,32
33,interest_CJ,neutral,right,neutral,3,33
34,interest_CJ,neutral,left,neutral,3,34
35,interest_CJ,neutral,right,neutral,3,35
36,interest_CJ,neutral,left,neutral,3,36
37,interest_CJ,neutral,right,neutral,3,37
38,interest_CJ,neutral,left,neutral,3,38
39,interest_CJ,neutral,right,neutral,3,39
