,cue_type,condition_type,target_location,cue_direction,cond_type,random_order,fixation_dur,cB_version
0,interest_JW,congruent,left,left,1,0,6.96638182316,1
1,interest_JW,congruent,left,left,1,10,0.340605395874,1
2,interest_JW,congruent,right,right,1,11,5.07500584955,1
3,interest_JW,neutral,left,neutral,3,32,0.858708244541,1
4,interest_JW,congruent,left,left,1,18,1.34320604295,1
5,interest_JW,congruent,left,left,1,2,5.96047709579,1
6,interest_JW,congruent,right,right,1,1,4.22275813324,1
7,interest_JW,incongruent,right,left,2,29,4.64173978053,1
8,interest_JW,congruent,left,left,1,6,1.19724193054,1
9,interest_JW,neutral,left,neutral,3,30,8.4620669236,1
10,interest_JW,neutral,right,neutral,3,33,3.41307230839,1
11,interest_JW,congruent,right,right,1,3,4.55446191104,1
12,interest_JW,congruent,left,left,1,16,1.54336333076,1
13,interest_JW,congruent,left,left,1,20,1.41899530416,1
14,interest_JW,incongruent,left,right,2,26,2.08234861549,1
15,interest_JW,congruent,right,right,1,17,3.89560717102,1
16,interest_JW,congruent,left,left,1,4,7.04214788828,1
17,interest_JW,incongruent,right,left,2,27,1.78814796432,1
18,interest_JW,incongruent,left,right,2,28,3.30193371251,1
19,interest_JW,incongruent,left,right,2,24,3.05846617995,1
20,interest_JW,congruent,left,left,1,22,0.219323747542,1
21,interest_JW,neutral,left,neutral,3,36,1.08307504654,1
22,interest_JW,neutral,right,neutral,3,39,2.1794207979,1
23,interest_JW,congruent,right,right,1,7,5.76003148199,1
24,interest_JW,congruent,right,right,1,23,1.88679353221,1
25,interest_JW,congruent,right,right,1,19,0.124235019622,1
26,interest_JW,neutral,right,neutral,3,31,3.02701578319,1
27,interest_JW,congruent,right,right,1,21,3.70755859229,1
28,interest_JW,incongruent,right,left,2,25,2.62758429202,1
29,interest_JW,congruent,right,right,1,13,2.09487202697,1
30,interest_JW,congruent,left,left,1,12,2.77710702374,1
31,interest_JW,neutral,right,neutral,3,37,0.494992311458,1
32,interest_JW,neutral,left,neutral,3,34,0.946600792798,1
33,interest_JW,congruent,left,left,1,8,1.60253588482,1
34,interest_JW,congruent,right,right,1,9,0.775675672595,1
35,interest_JW,neutral,right,neutral,3,35,1.90767052835,1
36,interest_JW,congruent,left,left,1,14,1.04521603867,1
37,interest_JW,neutral,left,neutral,3,38,4.16192553231,1
38,interest_JW,congruent,right,right,1,5,0.317204815217,1
39,interest_JW,congruent,right,right,1,15,2.09442547407,1
