,cue_type,condition_type,target_location,cue_direction,cond_type,random_order,fixation_dur,cB_version
0,parent_JW,congruent,right,right,1,21,4.07368699911,1
1,parent_JW,congruent,left,left,1,12,1.59288097102,1
2,parent_JW,congruent,left,left,1,6,0.74975144325,1
3,parent_JW,neutral,left,neutral,3,30,5.8863734399,1
4,parent_JW,congruent,right,right,1,5,1.88679353221,1
5,parent_JW,congruent,right,right,1,13,3.30405622657,1
6,parent_JW,congruent,right,right,1,9,3.36300761354,1
7,parent_JW,neutral,right,neutral,3,39,1.61049815389,1
8,parent_JW,congruent,left,left,1,10,8.87888212506,1
9,parent_JW,congruent,left,left,1,14,1.79682770251,1
10,parent_JW,congruent,left,left,1,8,1.5238898673,1
11,parent_JW,incongruent,left,right,2,26,4.16192553231,1
12,parent_JW,neutral,right,neutral,3,35,3.64645233768,1
13,parent_JW,congruent,left,left,1,22,0.586587395381,1
14,parent_JW,incongruent,right,left,2,25,2.20445436084,1
15,parent_JW,incongruent,right,left,2,27,1.01672404317,1
16,parent_JW,congruent,right,right,1,17,6.48732762225,1
17,parent_JW,congruent,left,left,1,2,1.68941250396,1
18,parent_JW,neutral,right,neutral,3,33,2.89658790555,1
19,parent_JW,incongruent,right,left,2,29,3.28864068295,1
20,parent_JW,congruent,right,right,1,11,0.837652349889,1
21,parent_JW,congruent,left,left,1,18,0.734451913136,1
22,parent_JW,neutral,left,neutral,3,36,0.947696067513,1
23,parent_JW,congruent,right,right,1,23,0.947578393837,1
24,parent_JW,incongruent,left,right,2,24,4.45584763837,1
25,parent_JW,neutral,left,neutral,3,32,4.9214648902,1
26,parent_JW,congruent,left,left,1,16,2.92493954351,1
27,parent_JW,congruent,left,left,1,20,4.53931628589,1
28,parent_JW,congruent,right,right,1,1,0.896071890277,1
29,parent_JW,neutral,left,neutral,3,34,1.98967524152,1
30,parent_JW,congruent,right,right,1,15,5.27073134656,1
31,parent_JW,congruent,right,right,1,7,1.80685364969,1
32,parent_JW,incongruent,left,right,2,28,0.439792038663,1
33,parent_JW,congruent,right,right,1,19,2.78903519033,1
34,parent_JW,congruent,left,left,1,0,1.68941250396,1
35,parent_JW,neutral,right,neutral,3,31,3.3682993701,1
36,parent_JW,neutral,right,neutral,3,37,2.37746983309,1
37,parent_JW,congruent,left,left,1,4,2.23069485693,1
38,parent_JW,congruent,right,right,1,3,3.82336612407,1
39,parent_JW,neutral,left,neutral,3,38,2.36489041403,1
